Species	M	L	T	N	R
Stellaria.nemorum	5.762211347	3.11202054	3.47107348	7.064871444	5.191099037
Juncus.effusus	6.24225871	6.883084216	4.216618168	4.207724493	4.089553611
Rumex.hydrolapathum	7.887189421	6.751759356	4.802402017	7.347272575	7.009693668
Stratiotes.aloides	8.857967768	6.967202489	4.576487907	6.634208721	6.975333475
Bidens.cernua	7.091488481	8.046015892	4.46790258	8.878085154	6.58183943
Calla.palustris	7.43532494	5.578096437	3.841657749	4.169902762	5.578918512
Carex.ovalis	NA	NA	NA	NA	NA
Carpinus.betulus	4.574588929	3.652233708	4.693994038	5.340294401	5.623407547
Circaea.lutetiana	5.369529635	3.123017901	4.246360808	7.121871082	6.911006871
Maianthemum.bifolium	4.574952327	2.54696291	3.634045845	3.180158543	3.606977637
Ranunculus.repens	6.024896627	5.806269934	3.718184306	6.212432803	5.907357621
Rhamnus.catharticus	3.78431611	6.176783163	4.104512995	4.044116265	7.595226268
Ulmus.minor	4.910046231	5.145646928	5.2513817	6.223977234	7.627019184
Erechtites.hieracifolia	NA	NA	NA	NA	NA
Rorippa.islandica	7.222370147	7.657084711	2.665041872	6.011002345	5.44454741
Glyceria.maxima	7.935569132	8.00464298	4.12858956	8.567035942	7.622809433
Mentha.aquatica	7.260105724	6.520166843	4.404058457	5.224667649	6.542201937
Picea.abies	4.976672302	4.36253698	2.517982457	4.311588576	4.243331434
Typha.latifolia	7.977738932	7.774474855	4.482052483	7.796363183	6.720904773
Carex.riparia	7.455056039	6.752349926	4.671255349	5.402483653	7.064916239
Spirodela.polyrhiza	8.907252286	6.882045467	4.796007942	6.893435328	6.295602211
